Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,Sensitivity,Specificity,Accuracy,MCC
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,full,kNN,82.00±6.00,98.00±0.00,97.00±0.00,0.78±0.03
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,full,LR,84.00±5.00,99.00±0.00,98.00±0.00,0.83±0.04
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,full,FFNN,85.00±5.00,99.00±0.00,98.00±0.00,0.85±0.04
ionchannels_membraneproteins,balanced,5,finetuned,ESM-1b,full,SVM,91.00±3.00,96.00±3.00,94.00±2.00,0.87±0.05
ionchannels_membraneproteins,balanced,5,finetuned,ESM-1b,full,RF,82.00±3.00,94.00±4.00,88.00±3.00,0.77±0.07
ionchannels_membraneproteins,balanced,5,finetuned,ESM-1b,full,kNN,96.00±2.00,72.00±4.00,83.00±2.00,0.69±0.04
ionchannels_membraneproteins,balanced,5,finetuned,ESM-1b,full,LR,94.00±2.00,94.00±2.00,94.00±1.00,0.88±0.03
ionchannels_membraneproteins,balanced,5,finetuned,ESM-1b,full,FFNN,94.00±2.00,94.00±3.00,94.00±2.00,0.88±0.04
iontransporters_membraneproteins,balanced,10,finetuned,ProtBERT-BFD,full,SVM,87.00±6.00,88.00±3.00,87.00±2.00,0.75±0.03
iontransporters_membraneproteins,balanced,10,finetuned,ProtBERT-BFD,full,RF,80.00±9.00,88.00±3.00,84.00±5.00,0.69±0.09
iontransporters_membraneproteins,balanced,10,finetuned,ProtBERT-BFD,full,kNN,85.00±5.00,76.00±1.00,81.00±3.00,0.62±0.06
iontransporters_membraneproteins,balanced,10,finetuned,ProtBERT-BFD,full,LR,87.00±6.00,89.00±3.00,88.00±2.00,0.76±0.03
iontransporters_membraneproteins,balanced,10,finetuned,ProtBERT-BFD,full,FFNN,86.00±6.00,88.00±3.00,87.00±2.00,0.75±0.04
iontransporters_membraneproteins,balanced,8,frozen,ProtT5,half,SVM,92.00±4.00,91.00±3.00,91.00±3.00,0.83±0.05
iontransporters_membraneproteins,balanced,8,frozen,ProtT5,half,RF,86.00±3.00,88.00±4.00,87.00±3.00,0.74±0.07
iontransporters_membraneproteins,balanced,8,frozen,ProtT5,half,kNN,92.00±4.00,67.00±7.00,80.00±4.00,0.61±0.08
iontransporters_membraneproteins,balanced,8,frozen,ProtT5,half,LR,91.00±3.00,92.00±1.00,92.00±2.00,0.84±0.04
iontransporters_membraneproteins,balanced,8,frozen,ProtT5,half,FFNN,91.00±4.00,90.00±4.00,91.00±3.00,0.82±0.07
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT,full,SVM,85.00±2.00,90.00±4.00,88.00±2.00,0.76±0.04
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT,full,RF,82.00±3.00,85.00±5.00,84.00±2.00,0.68±0.04
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT,full,kNN,87.00±4.00,67.00±5.00,77.00±3.00,0.55±0.07
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT,full,LR,87.00±2.00,90.00±1.00,88.00±1.00,0.77±0.02
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT,full,FFNN,88.00±3.00,90.00±2.00,89.00±1.00,0.78±0.03
ionchannels_membraneproteins,balanced,2,frozen,ESM-1b,half,SVM,91.00±2.00,96.00±1.00,94.00±2.00,0.88±0.03
ionchannels_membraneproteins,balanced,2,frozen,ESM-1b,half,RF,80.00±3.00,96.00±2.00,89.00±2.00,0.78±0.04
ionchannels_membraneproteins,balanced,2,frozen,ESM-1b,half,kNN,96.00±1.00,70.00±1.00,82.00±0.00,0.67±0.01
ionchannels_membraneproteins,balanced,2,frozen,ESM-1b,half,LR,93.00±3.00,94.00±3.00,93.00±1.00,0.87±0.03
ionchannels_membraneproteins,balanced,2,frozen,ESM-1b,half,FFNN,93.00±2.00,94.00±2.00,94.00±1.00,0.87±0.03
iontransporters_membraneproteins,balanced,10,finetuned,ESM-1b,half,SVM,89.00±3.00,93.00±1.00,91.00±1.00,0.82±0.02
iontransporters_membraneproteins,balanced,10,finetuned,ESM-1b,half,RF,87.00±4.00,90.00±3.00,88.00±2.00,0.77±0.05
iontransporters_membraneproteins,balanced,10,finetuned,ESM-1b,half,kNN,86.00±7.00,84.00±6.00,85.00±2.00,0.71±0.03
iontransporters_membraneproteins,balanced,10,finetuned,ESM-1b,half,LR,88.00±3.00,91.00±3.00,90.00±1.00,0.80±0.01
iontransporters_membraneproteins,balanced,10,finetuned,ESM-1b,half,FFNN,90.00±2.00,91.00±5.00,91.00±2.00,0.81±0.03
ionchannels_membraneproteins,balanced,9,finetuned,ESM-2,half,SVM,90.00±5.00,90.00±3.00,90.00±3.00,0.80±0.05
ionchannels_membraneproteins,balanced,9,finetuned,ESM-2,half,RF,82.00±7.00,94.00±3.00,88.00±3.00,0.77±0.05
ionchannels_membraneproteins,balanced,9,finetuned,ESM-2,half,kNN,91.00±5.00,68.00±5.00,78.00±3.00,0.60±0.07
ionchannels_membraneproteins,balanced,9,finetuned,ESM-2,half,LR,92.00±4.00,89.00±5.00,90.00±4.00,0.81±0.07
ionchannels_membraneproteins,balanced,9,finetuned,ESM-2,half,FFNN,91.00±5.00,91.00±4.00,91.00±3.00,0.82±0.07
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,half,SVM,81.00±6.00,100.00±0.00,99.00±0.00,0.88±0.03
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,half,RF,36.00±4.00,100.00±0.00,96.00±0.00,0.58±0.03
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,half,kNN,82.00±6.00,98.00±0.00,97.00±0.00,0.78±0.03
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,half,LR,84.00±5.00,99.00±0.00,98.00±0.00,0.83±0.04
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,half,FFNN,84.00±5.00,99.00±0.00,98.00±0.00,0.85±0.04
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT,full,SVM,86.00±6.00,92.00±4.00,89.00±4.00,0.78±0.08
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT,full,RF,78.00±5.00,94.00±3.00,87.00±4.00,0.74±0.07
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT,full,kNN,88.00±3.00,58.00±4.00,72.00±3.00,0.48±0.06
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT,full,LR,88.00±3.00,89.00±6.00,88.00±3.00,0.77±0.06
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT,full,FFNN,90.00±2.00,88.00±5.00,89.00±3.00,0.78±0.05
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT,full,SVM,88.00±3.00,85.00±5.00,86.00±2.00,0.73±0.03
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT,full,RF,81.00±3.00,82.00±5.00,81.00±3.00,0.63±0.06
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT,full,kNN,87.00±3.00,67.00±6.00,77.00±2.00,0.56±0.04
